Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
2991600,2024-08-09T00:00:00Z,Texas,Dallas,4000 Cedarview Road,0,4,0,0,0
2990695,2024-08-09T00:00:00Z,Kentucky,Lexington,701 National Avenue,1,5,0,0,0
2990446,2024-08-08T00:00:00Z,Alabama,Birmingham,1600 Dennison Avenue,2,2,0,0,1
2989678,2024-08-07T00:00:00Z,New York,Bronx,E 190th Street and Morris Avenue,0,6,0,0,0
2988723,2024-08-06T00:00:00Z,West Virginia,Hedgesville,Householder Road,0,4,0,0,1
2987351,2024-08-05T00:00:00Z,Missouri,Kansas City,Prospect Avenue and E 70th Street,1,5,0,0,0
2987657,2024-08-05T00:00:00Z,Washington,Seattle,Broadway and E Pike Street,0,4,0,0,0
2988109,2024-08-04T00:00:00Z,Mississippi,Vicksburg,118 Abraham Dr,1,3,0,0,1
2986409,2024-08-04T00:00:00Z,California,Oakland,Fruitvale Avenue and MacArthur Blvd,0,5,0,0,0
2986309,2024-08-04T00:00:00Z,Illinois,Chicago,2100 S Canal Street,1,3,0,0,0
2986352,2024-08-04T00:00:00Z,Illinois,Chicago,5100 S Calumet Avenue,0,5,0,0,0
2986327,2024-08-04T00:00:00Z,Oklahoma,Tulsa,2605 MLK Jr Blvd,0,8,0,0,0
2986864,2024-08-04T00:00:00Z,Tennessee,Memphis,5560 Shelby Oaks Dr,0,4,0,0,1
2986196,2024-08-03T00:00:00Z,District of Columbia,Washington,22 M Street Northeast,2,2,0,0,0
2986051,2024-08-03T00:00:00Z,Wisconsin,Milwaukee,3853 N Richards Street,0,5,0,0,0
2984628,2024-08-01T00:00:00Z,Colorado,Aurora,1472 Ironton Street,1,3,0,0,0
2983770,2024-07-30T00:00:00Z,Georgia,Fairburn,2275 GA-138,1,3,0,0,2
2983265,2024-07-30T00:00:00Z,Maine,Portland,1155 Forest Avenue,1,3,0,0,1
2981150,2024-07-28T00:00:00Z,Wisconsin,Milwaukee,9200 W Silver Spring Dr,0,5,0,0,0
2981386,2024-07-28T00:00:00Z,Florida,Pensacola,6405 Wagner Road,2,5,0,0,0
2981004,2024-07-28T00:00:00Z,Illinois,Champaign,2000 Cynthia Dr,2,2,0,0,0
2980988,2024-07-28T00:00:00Z,Indiana,South Bend,1300 Bissell Street,0,4,0,0,0
2981511,2024-07-28T00:00:00Z,Missouri,Saint Louis,3505 Gravois Avenue,1,3,0,0,2
2982349,2024-07-28T00:00:00Z,Washington,Auburn,2900 M Street Southeast,0,4,0,0,0
2981325,2024-07-28T00:00:00Z,California,Los Angeles,E 51st Street and Avalon Blvd,0,4,0,0,0
