Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
2896893,2024-05-01T00:00:00Z,Texas,Fort Worth,3096 Las Vegas Trl,0,6,0,0,5
2893900,2024-04-29T00:00:00Z,North Carolina,Charlotte,5525 Galway Dr,4,4,1,0,0
2895203,2024-04-29T00:00:00Z,Florida,Miami Gardens,1400 Northwest 197th Street,0,5,0,0,0
2892877,2024-04-28T00:00:00Z,Florida,Sanford,4380 Carraway Pl,0,10,0,0,1
2893298,2024-04-28T00:00:00Z,Georgia,Fitzgerald,300 E Pine Street,1,3,0,0,1
2892937,2024-04-28T00:00:00Z,Arizona,Tucson,3200 E 5th Street,1,3,0,0,4
2892952,2024-04-28T00:00:00Z,Louisiana,Kenner,700 Farm Avenue,0,5,1,0,0
2893705,2024-04-28T00:00:00Z,Mississippi,Utica,1022 Lee Davis Cir,1,3,0,1,3
2892069,2024-04-27T00:00:00Z,Florida,Daytona Beach,600 N Grandview Avenue,0,4,0,0,1
2892374,2024-04-27T00:00:00Z,South Carolina,Santee,800 Antioch Road,1,3,0,0,3
2892008,2024-04-26T00:00:00Z,District of Columbia,Washington,1219 Connecticut Avenue Northwest,0,6,0,0,1
2888610,2024-04-22T00:00:00Z,Virginia,Petersburg,5900 Sentry Hill Ct,0,5,0,0,0
2887313,2024-04-22T00:00:00Z,Oklahoma,Yukon,2804 Mirage Street,4,0,1,0,0
2886674,2024-04-21T00:00:00Z,Illinois,Oak Forest,5500 Babette Ct,1,3,0,0,1
2885854,2024-04-20T00:00:00Z,Tennessee,Memphis,2410 Carnes Avenue,2,7,0,0,0
2884570,2024-04-19T00:00:00Z,Maryland,Greenbelt,6915 Hanover Pkwy,0,5,0,0,2
2884585,2024-04-19T00:00:00Z,District of Columbia,Washington,1211 Mount Olivet Road Northeast,0,4,0,0,0
2884446,2024-04-18T00:00:00Z,Louisiana,Thibodaux,1400 Orange Grove Sq,0,4,0,0,0
2881822,2024-04-16T00:00:00Z,New York,Bronx,E Mount Eden Avenue and Townsend Avenue,1,3,0,0,1
2881676,2024-04-16T00:00:00Z,North Carolina,Clinton,Boykin Road and Shaun Ln,1,3,0,0,0
2879450,2024-04-14T00:00:00Z,Texas,Dallas,4530 Collins Avenue,1,8,0,0,1
2880126,2024-04-14T00:00:00Z,Kentucky,Hopkinsville,1700 Canton Street,0,4,0,0,2
2879964,2024-04-14T00:00:00Z,Virginia,Richmond,1300 Jennie Scher Road,1,4,0,0,0
2879792,2024-04-14T00:00:00Z,Tennessee,Nashville,480 Bell Road,0,6,0,0,1
2880226,2024-04-14T00:00:00Z,Louisiana,New Orleans,828 S Peters Street,1,11,0,0,0
2879659,2024-04-13T00:00:00Z,Arkansas,Wynne,Williams Avenue and Martin Luther King Street,1,9,0,0,3
2879189,2024-04-13T00:00:00Z,Illinois,Chicago,2021 W 52nd Street,1,10,0,0,1
2880895,2024-04-13T00:00:00Z,Georgia,Albany,300 E Broad Avenue,0,4,0,0,6
2880957,2024-04-13T00:00:00Z,Mississippi,Coldwater,W Central Street,1,3,0,0,0
2877499,2024-04-11T00:00:00Z,Florida,Orlando,2800 Gamma Dr,1,3,0,0,0
2876444,2024-04-10T00:00:00Z,District of Columbia,Washington,1100 21st Streetreet Northeast,1,5,0,0,0
2873416,2024-04-07T00:00:00Z,Texas,San Antonio,11135 Wye Dr,0,6,0,0,0
2873450,2024-04-07T00:00:00Z,Oklahoma,Oklahoma City,3034 N Portland Avenue,1,3,0,0,0
2872613,2024-04-06T00:00:00Z,Florida,Miami,3450 Northwest 83rd Avenue,1,7,1,0,0
2872340,2024-04-05T00:00:00Z,Arkansas,North Little Rock,116 Curtis Sykes Dr,1,3,0,0,1
2872754,2024-04-05T00:00:00Z,Florida,West Palm Beach,1170 W 27th Street,1,3,0,0,1
2872358,2024-04-01T00:00:00Z,Louisiana,New Iberia,600 Breaux Alley,0,4,0,1,2
2868907,2024-04-01T00:00:00Z,Michigan,Eastpointe,19000 Dijon Avenue,0,4,0,0,0
2966990,2024-03-31T00:00:00Z,Mississippi,Greenwood,US-49E,1,3,0,0,1
2867279,2024-03-31T00:00:00Z,Tennessee,Nashville,614 Garfield Street,1,5,0,0,1
2867514,2024-03-31T00:00:00Z,Illinois,Chicago,400 N Lavergne Avenue,1,3,0,0,3
2866851,2024-03-31T00:00:00Z,Illinois,Chicago,5333 W Madison Street,1,4,0,0,0
2867670,2024-03-31T00:00:00Z,Mississippi,Jackson,2050 Martin Luther King Jr Dr,0,4,0,1,0
2867139,2024-03-31T00:00:00Z,Georgia,Dublin,500 West Avenue,2,5,0,0,2
2867883,2024-03-31T00:00:00Z,Mississippi,Jackson,3200 US-80,1,3,0,0,0
2868697,2024-03-31T00:00:00Z,Texas,Paris,1355 8th Northeast,0,4,0,0,0
2868563,2024-03-31T00:00:00Z,Florida,Saint Petersburg,400 49th Street S,0,4,0,0,5
2866832,2024-03-30T00:00:00Z,Indiana,Indianapolis,49 W Maryland Street,0,7,0,0,1
2866920,2024-03-30T00:00:00Z,Connecticut,Bridgeport,1542 Streetratford Avenue,2,1,0,1,2
2865719,2024-03-29T00:00:00Z,Alabama,Mobile,600 Euclid Avenue,2,2,0,1,2
2865779,2024-03-29T00:00:00Z,Michigan,Detroit,8203 W Chicago Street,0,5,0,0,1
2864257,2024-03-27T00:00:00Z,Texas,Houston,3403 Love Street,1,3,0,0,0
2862335,2024-03-25T00:00:00Z,Florida,Pompano Beach,1750 Dr. Martin Luther King Jr. Blvd,1,3,0,0,3
2860902,2024-03-24T00:00:00Z,Indiana,Indianapolis,9439 E Washington Street,0,5,1,0,0
2859623,2024-03-22T00:00:00Z,Louisiana,New Orleans,AP Tureau Avenue and N Roman Street,2,2,0,0,0
2855294,2024-03-17T00:00:00Z,District of Columbia,Washington,1541 7th Street Northwest,2,5,0,0,0
2854765,2024-03-16T00:00:00Z,Ohio,Euclid,19500 Street Clair Avenue,0,5,0,0,0
2854542,2024-03-16T00:00:00Z,Indiana,Indianapolis,808 Broad Ripple Avenue,1,5,0,0,1
2855735,2024-03-16T00:00:00Z,California,Manteca,955 E Yosemite Avenue,0,4,0,0,0
2855051,2024-03-16T00:00:00Z,Texas,El Paso,2285 Trawood Dr,1,3,0,0,1
2855474,2024-03-16T00:00:00Z,Alabama,Montgomery,3700 Woodley Road,1,3,0,0,0
2853374,2024-03-14T00:00:00Z,Tennessee,Memphis,1300 Quinn Avenue,1,3,0,1,2
2851205,2024-03-12T00:00:00Z,Florida,Lawtey,21637 Northeast 17th Avenue,3,1,0,0,1
2849965,2024-03-10T00:00:00Z,Louisiana,Shreveport,2755 Hollywood Avenue,1,3,0,0,0
2849245,2024-03-10T00:00:00Z,Arkansas,Jonesboro,641 Burke Avenue,2,5,1,0,0
2846628,2024-03-06T00:00:00Z,Pennsylvania,Philadelphia,Rising Sun Avenue and Cottman Avenue,0,8,0,0,4
2844773,2024-03-04T00:00:00Z,Pennsylvania,Philadelphia,Ogontz Avenue and Godfrey Avenue,1,4,0,0,0
2844405,2024-03-03T00:00:00Z,California,King City,215 N 2nd Street,4,7,0,0,3
2844148,2024-03-03T00:00:00Z,Mississippi,West Point,10514 US-45 ALT N,1,12,0,0,1
2843663,2024-03-02T00:00:00Z,Texas,Houston,5101 Washington Avenue,0,4,0,0,1
2843303,2024-03-02T00:00:00Z,North Carolina,Pembroke,408 W Railroad Street,2,3,0,0,1
2844305,2024-03-02T00:00:00Z,Louisiana,Natchez,198 LA-119,1,3,0,0,0
2841692,2024-02-29T00:00:00Z,Missouri,Independence,1111 N Elsea Smith Road,2,2,0,1,1
2840946,2024-02-28T00:00:00Z,Florida,Orlando,Ironwedge Dr and S Lake Orlando Pkwy,1,6,0,0,2
2839362,2024-02-27T00:00:00Z,Minnesota,Minneapolis,E Franklin Avenue and Elliot Avenue,1,3,0,0,0
2839240,2024-02-26T00:00:00Z,Kentucky,Louisville,5500 Overbrook Woods Pl,1,3,0,0,0
2838132,2024-02-25T00:00:00Z,Illinois,Chicago,7340 N Rogers Avenue,1,3,0,0,1
2838389,2024-02-25T00:00:00Z,Illinois,Chicago,8033 S Vincennes Avenue,3,1,0,0,1
2838881,2024-02-25T00:00:00Z,Alaska,Point Hope,309 Agviq Street,2,2,0,0,1
2834712,2024-02-20T00:00:00Z,Pennsylvania,Allentown,1800 W Turner Street,0,4,0,0,1
2898968,2024-02-19T00:00:00Z,California,Oakland,3841 West Street,0,5,0,0,4
2832971,2024-02-19T00:00:00Z,Indiana,Indianapolis,2621 S Lynhurst Dr,1,5,0,0,0
2832334,2024-02-18T00:00:00Z,Minnesota,Burnsville,12605 33rd Avenue,3,1,1,0,0
2832590,2024-02-18T00:00:00Z,Alabama,Montgomery,3500 McGehee Road,1,3,0,0,1
2832558,2024-02-18T00:00:00Z,California,Carson,1155 E Dominguez Street,0,4,0,0,0
2831391,2024-02-16T00:00:00Z,Alabama,Birmingham,828 Center Streetreet N,4,0,0,0,1
2830649,2024-02-15T00:00:00Z,Arkansas,Springdale,599 E Lakeview Dr,1,4,0,0,3
2828898,2024-02-14T00:00:00Z,Georgia,Atlanta,3450 Benjamin E Mays Dr Southwest,0,4,0,0,1
2828337,2024-02-14T00:00:00Z,Georgia,Claxton,7903 US-301,2,2,0,0,1
2828642,2024-02-14T00:00:00Z,Missouri,Kansas City,30 W Pershing Road,1,22,0,2,6
2828159,2024-02-13T00:00:00Z,Maryland,Baltimore,700 E Eager Street,0,4,0,0,0
2826683,2024-02-12T00:00:00Z,New York,Bronx,Jerome Avenue and W Mount Eden Avenue,1,5,0,0,3
2826220,2024-02-11T00:00:00Z,Tennessee,Jackson,23 Heritage Square,0,4,1,0,0
2826477,2024-02-11T00:00:00Z,California,Huntington Park,6000 Bear Avenue,4,1,0,0,3
2825493,2024-02-11T00:00:00Z,Illinois,Chicago,W 30th Street and S Street Louis Avenue,0,7,0,0,0
2824648,2024-02-09T00:00:00Z,Texas,Dallas,220 Streetoneport Dr,0,5,0,0,0
2824579,2024-02-09T00:00:00Z,District of Columbia,Washington,1200 Raum Street Northeast,1,3,0,0,0
2822404,2024-02-07T00:00:00Z,Pennsylvania,Lansdowne,58 Lewis Avenue,4,2,1,0,0
2819413,2024-02-04T00:00:00Z,Colorado,Denver,5000 N Orleans Ct,2,4,0,0,0
2815932,2024-01-31T00:00:00Z,Louisiana,New Orleans,Wall Blvd and Murl Street,1,3,0,0,0
2815852,2024-01-31T00:00:00Z,Kentucky,Louisville,S 12th Street and W Muhammad Ali Blvd,2,2,0,0,0
2815425,2024-01-29T00:00:00Z,Mississippi,Grenada,N Lynch Street,0,4,0,0,0
2813433,2024-01-28T00:00:00Z,Florida,Palm Bay,473 Forgal Avenue,3,2,1,0,0
2813845,2024-01-28T00:00:00Z,California,Compton,S Central Avenue and Alondra Blvd,0,4,0,0,0
2814635,2024-01-28T00:00:00Z,Tennessee,Memphis,2223 W River Trace Dr,2,2,0,0,1
2813443,2024-01-28T00:00:00Z,Pennsylvania,Harrisburg,600 Fillmore Street,0,4,0,0,0
2815416,2024-01-27T00:00:00Z,Mississippi,Grenada,800 Martin Luther King Jr Dr,1,3,0,0,1
2812487,2024-01-27T00:00:00Z,North Carolina,Charlotte,8508 Lodge S Cir,3,1,0,0,0
2812327,2024-01-25T00:00:00Z,Missouri,Kansas City,3100 E Linwood Blvd,0,4,0,0,0
2810693,2024-01-24T00:00:00Z,Louisiana,New Orleans,3400 Wall Blvd,1,3,0,0,0
2809998,2024-01-23T00:00:00Z,California,Adelanto,Shadow Mountain Road and Lessing Avenue,6,0,0,0,5
2807511,2024-01-21T00:00:00Z,Texas,Katy,4643 Russet Leaf Tr,3,2,0,1,1
2807503,2024-01-21T00:00:00Z,New York,Bronx,4137 White Plains Road,1,3,0,0,0
2807473,2024-01-21T00:00:00Z,Illinois,Tinley Park,7430 173rd Pl,4,0,0,0,1
2808531,2024-01-21T00:00:00Z,Illinois,Joliet,200 Davis Street,8,1,1,0,1
2807488,2024-01-20T00:00:00Z,Florida,Palm Bay,1700 Woodlake Dr Northeast,3,2,0,0,1
2807528,2024-01-20T00:00:00Z,Florida,Plantation,12301 W Sunrise Blvd,1,3,0,0,0
2806941,2024-01-20T00:00:00Z,Pennsylvania,Coraopolis,870 Fourth Avenue,1,3,0,0,0
2806956,2024-01-20T00:00:00Z,Alabama,Coker,11000 Pate Road,1,3,0,0,3
2805327,2024-01-19T00:00:00Z,Maryland,Baltimore,5200 Fairlawn Avenue,3,1,0,0,1
2804280,2024-01-18T00:00:00Z,California,San Francisco,Hyde Street and Turk Street,1,4,0,0,0
2803737,2024-01-17T00:00:00Z,Missouri,Kansas City,2450 Grand Blvd,0,6,0,0,2
2804615,2024-01-17T00:00:00Z,Nevada,Las Vegas,200 W Chicago Avenue,2,2,0,0,0
2801431,2024-01-14T00:00:00Z,Pennsylvania,Philadelphia,2400 N Myrtlewood Street,2,4,0,0,0
2801357,2024-01-14T00:00:00Z,Mississippi,West Point,W Half Mile Street and N Division Street,2,3,0,0,3
2801260,2024-01-14T00:00:00Z,Texas,Houston,4400 Mooney Road,0,4,0,0,0
2800844,2024-01-13T00:00:00Z,Texas,Richmond,17006 Cory Cornel Ln,4,0,1,0,0
2799654,2024-01-11T00:00:00Z,California,Compton,1000 Acacia Avenue,0,5,0,0,0
2798627,2024-01-09T00:00:00Z,Virginia,Portsmouth,3700 Greenway Ct E,2,2,0,0,1
2796605,2024-01-07T00:00:00Z,Alabama,Abbeville,1600 Co Road 40,0,4,0,0,0
2822517,2024-01-06T00:00:00Z,California,Reedley,1151 S Church Avenue,4,0,0,0,1
2794498,2024-01-04T00:00:00Z,Louisiana,Baton Rouge,6315 Greenwell Street,1,5,0,0,0
2794194,2024-01-04T00:00:00Z,Iowa,Perry,1200 18th Street,2,5,1,0,0
2792720,2024-01-01T00:00:00Z,Missouri,Springfield,5485 W Sunshine Street,0,4,0,0,1
2792829,2024-01-01T00:00:00Z,Louisiana,Baton Rouge,4600 W Brookstown Dr,1,3,0,0,3
2791411,2024-01-01T00:00:00Z,California,Los Angeles,2350 Porter Street,2,8,0,0,0
2840907,2024-01-01T00:00:00Z,Illinois,Maywood,1500 Street Charles Road,2,2,0,0,1
2790854,2023-12-31T00:00:00Z,California,Hawthorne,14125 Crenshaw Blvd,1,5,0,0,0
2791696,2023-12-31T00:00:00Z,South Carolina,Little River,3389 Hwy 9 E,2,2,0,0,0
2791341,2023-12-31T00:00:00Z,North Carolina,Charlotte,300 S Church Street,0,5,0,0,1
2790081,2023-12-30T00:00:00Z,Colorado,Denver,4888 W Colfax Avenue,2,2,0,0,0
2790633,2023-12-30T00:00:00Z,Texas,Beaumont,6500 Bigner Road,1,4,0,0,0
2790559,2023-12-30T00:00:00Z,Florida,Gainesville,1631 Northeast 16th Avenue,0,4,0,0,0
2786002,2023-12-24T00:00:00Z,Florida,Orlando,2800 Sudman Way,2,3,0,0,0
2786444,2023-12-24T00:00:00Z,Colorado,Colorado Springs,750 Citadel Dr E,1,3,0,0,1
2786038,2023-12-24T00:00:00Z,Texas,Houston,5828 Martin Luther King Blvd,1,4,0,0,0
2786401,2023-12-23T00:00:00Z,Washington,Seattle,Occidental Avenue S and S Washington Street,0,5,0,0,0
2786253,2023-12-23T00:00:00Z,Texas,Fort Worth,9325 Cynthia Ct,1,4,0,0,0
2785646,2023-12-23T00:00:00Z,Maryland,Gwynn Oak,1808 Woodlawn Dr,1,4,0,0,0
2784986,2023-12-22T00:00:00Z,New York,Corona,117-29 143rd Street,1,3,0,0,1
2784291,2023-12-21T00:00:00Z,District of Columbia,Washington,1399 Half Street Southwest,2,2,0,0,0
2783287,2023-12-20T00:00:00Z,Pennsylvania,Philadelphia,7300 Chelwynde Avenue,1,3,0,0,0
2780660,2023-12-17T00:00:00Z,South Carolina,Ridgeland,51 Riverwalk Blvd,2,2,0,0,3
2781391,2023-12-17T00:00:00Z,Alabama,Gainestown,Walker Springs Road and Wooded Acres Road,0,4,0,0,1
2779489,2023-12-15T00:00:00Z,Tennessee,Memphis,3941 Riverdale Road,2,3,0,0,1
2779676,2023-12-15T00:00:00Z,California,Los Angeles,238 E El Segundo Blvd,1,4,0,0,0
2779098,2023-12-14T00:00:00Z,Illinois,Ashland,308 Philadelphia Road,3,1,1,0,0
2775971,2023-12-11T00:00:00Z,Nevada,Las Vegas,7545 Oso Blanca Road,3,1,1,0,0
2775245,2023-12-10T00:00:00Z,Pennsylvania,Philadelphia,2200 N Chadwick Street,2,2,0,0,0
2775006,2023-12-09T00:00:00Z,Georgia,Atlanta,3005 Peachtree Road Northeast,3,1,0,0,0
2773914,2023-12-06T00:00:00Z,Colorado,Peyton,21885 Akawi Way,3,1,1,0,0
2772021,2023-12-06T00:00:00Z,Nevada,Las Vegas,4505 S Maryland Pkwy,3,1,1,0,0
2771255,2023-12-05T00:00:00Z,Texas,Austin,7104 Berkman Dr,6,3,0,0,1
2770296,2023-12-04T00:00:00Z,South Carolina,Lugoff,I-20,1,4,0,0,0
2769819,2023-12-03T00:00:00Z,Texas,Dallas,9700 Royce Dr,4,1,1,0,0
2769728,2023-12-03T00:00:00Z,Texas,Houston,4913 Griggs Road,1,3,0,0,0
2770132,2023-12-03T00:00:00Z,Washington,Vancouver,11511 Northeast 92nd Street,4,0,1,0,0
2769880,2023-12-02T00:00:00Z,Ohio,Columbus,400 N Ohio Avenue,0,4,0,0,0
2770501,2023-12-02T00:00:00Z,Ohio,Cleveland,2200 Street Clair Avenue,0,4,0,0,0
2769181,2023-12-02T00:00:00Z,California,Fresno,4300 E Olive Avenue,2,2,0,0,1
2769379,2023-12-02T00:00:00Z,Colorado,Aurora,1300 Joliet Street,0,4,0,0,1
2769574,2023-12-02T00:00:00Z,Mississippi,Mccomb,560 Presley Blvd,0,5,0,0,0
2768663,2023-12-01T00:00:00Z,Nevada,Las Vegas,E Charleston Blvd and N Honolulu Street,2,3,0,0,2
2767813,2023-11-29T00:00:00Z,North Carolina,Lexington,7000 NC-8,0,5,0,0,1
2767246,2023-11-29T00:00:00Z,Illinois,Chicago,3600 W Flournoy Street,1,3,0,0,1
2764105,2023-11-26T00:00:00Z,North Carolina,Winston Salem,3533 N Glenn Avenue,0,4,0,1,1
2764540,2023-11-26T00:00:00Z,California,Los Angeles,836 W 110th Street,4,0,0,0,1
2766505,2023-11-25T00:00:00Z,California,Fontana,15500 Eastwind Avenue,3,1,0,0,1
2763545,2023-11-23T00:00:00Z,Tennessee,Memphis,2707 Kimball Avenue,0,4,0,0,0
2762964,2023-11-23T00:00:00Z,Georgia,Decatur,3000 Cascade Manor Dr,0,4,0,0,0
2762712,2023-11-23T00:00:00Z,Illinois,Chicago,2000 W Monroe Street,0,5,0,0,0
2762803,2023-11-22T00:00:00Z,North Carolina,Lumberton,111 W 3rd Street,0,6,0,0,1
2762681,2023-11-22T00:00:00Z,Mississippi,Goodman,7213 US-51,1,3,0,0,0
2761566,2023-11-21T00:00:00Z,Pennsylvania,Philadelphia,3200 Fairhill Street,2,5,0,0,0
2760537,2023-11-20T00:00:00Z,Ohio,Fairborn,3360 Pentagon Blvd,0,4,1,0,0
2760730,2023-11-20T00:00:00Z,Colorado,Westcliffe,173 Rocky Ridge Road,3,1,0,0,1
2759654,2023-11-19T00:00:00Z,Texas,Port Arthur,4400 Griffing Dr,0,5,0,0,0
2758871,2023-11-18T00:00:00Z,Tennessee,Memphis,3636 Field Lark Dr,4,1,1,0,0
2759002,2023-11-18T00:00:00Z,Arkansas,Little Rock,7101 W 12th Street,1,3,0,0,2
2759046,2023-11-18T00:00:00Z,California,Spring Valley,9034 Ildica Street,0,5,0,0,0
2757292,2023-11-16T00:00:00Z,Ohio,Willoughby,7166 Mentor Avenue,3,1,1,0,0
2755393,2023-11-14T00:00:00Z,Massachusetts,Springfield,31 Morgan Street,1,3,0,0,0
2753283,2023-11-12T00:00:00Z,Washington,Puyallup,11500 152nd Street E,0,6,0,0,0
2753565,2023-11-12T00:00:00Z,Texas,Pearland,1014 N Main Street,1,4,0,0,1
2753236,2023-11-11T00:00:00Z,Virginia,Portsmouth,3500 Commonwealth Avenue,0,4,0,0,0
2752208,2023-11-10T00:00:00Z,Missouri,Independence,18801 East 39th Street S,1,3,0,0,0
2752316,2023-11-10T00:00:00Z,Alabama,Birmingham,I-59 and Bush Blvd,0,4,0,0,1
2747768,2023-11-05T00:00:00Z,Arizona,Phoenix,4300 N 21st Dr,0,4,0,0,0
2747938,2023-11-05T00:00:00Z,Indiana,Indianapolis,5905 Madison Avenue,1,5,0,0,0
2748473,2023-11-05T00:00:00Z,Texas,Hempstead,35028 Cameron Road,0,7,0,0,0
2748157,2023-11-05T00:00:00Z,Georgia,Atlanta,1090 Redford Dr Southeast,0,6,0,0,0
2748070,2023-11-05T00:00:00Z,Washington,Tacoma,2708 6th Avenue,2,3,0,0,1
2747734,2023-11-05T00:00:00Z,Colorado,Denver,5514 E 33rd Avenue,2,3,0,2,2
2747153,2023-11-04T00:00:00Z,Ohio,Cleveland,500 Towne Ln,1,3,0,0,1
2748287,2023-11-04T00:00:00Z,Texas,Galveston,2100 The Streetrand,0,6,0,0,1
2746785,2023-11-03T00:00:00Z,Ohio,Cincinnati,Jones Street and Wade Street,1,5,0,0,0
2744799,2023-11-01T00:00:00Z,Texas,Dallas,2300 2nd Avenue,0,5,0,0,0
2745105,2023-10-31T00:00:00Z,California,Salinas,301 Chaparral Street,0,7,0,0,0
2743289,2023-10-30T00:00:00Z,Minnesota,Minneapolis,901 Cedar Avenue,0,4,0,0,0
2743711,2023-10-29T00:00:00Z,North Carolina,Wilson,2331 US-301 S,0,4,0,0,1
2742403,2023-10-29T00:00:00Z,Kansas,Dodge City,207 E Wyatt Earp Blvd,2,2,0,0,1
2742030,2023-10-29T00:00:00Z,Florida,Tampa,1600 E 7th Avenue,2,15,0,0,3
2742160,2023-10-29T00:00:00Z,Georgia,Atlanta,120 Piedmont Avenue Northeast,1,3,0,0,0
2742012,2023-10-29T00:00:00Z,Indiana,Indianapolis,5172 E 65th Street,1,9,0,0,0
2742143,2023-10-29T00:00:00Z,Illinois,Chicago,1258 S Pulaski Road,0,15,0,0,1
2743269,2023-10-29T00:00:00Z,Mississippi,Wiggins,195 Old Hwy 49 S,1,3,0,0,2
2743031,2023-10-29T00:00:00Z,California,Azusa,5400 N Banewell Avenue,0,4,0,0,0
2742572,2023-10-28T00:00:00Z,New Mexico,Las Cruces,3000 Dyer Street,0,7,0,0,0
2742231,2023-10-28T00:00:00Z,Louisiana,Lake Charles,Bruce Dr and Opelousas Street,0,6,0,0,1
2742471,2023-10-28T00:00:00Z,California,Chula Vista,2015 Birch Road,0,4,0,0,1
2742414,2023-10-28T00:00:00Z,Georgia,Decatur,3300 Glenwood Road,0,4,0,0,0
2741949,2023-10-28T00:00:00Z,Texas,Texarkana,700 N Streetateline Avenue,3,3,0,0,2
2741453,2023-10-28T00:00:00Z,Illinois,Chicago,2000 N Lorel Avenue,0,4,0,0,0
2741772,2023-10-28T00:00:00Z,Maryland,Cumberland,20 S Mechanic Street,1,3,0,0,1
2746094,2023-10-27T00:00:00Z,Arkansas,Little Rock,7620 Baseline Road,1,4,0,0,0
2741490,2023-10-27T00:00:00Z,Ohio,Mansfield,810 Ferndale Road,2,4,0,0,1
2739575,2023-10-26T00:00:00Z,North Carolina,Clinton,10310 Garland Hwy,5,0,0,0,0
2738185,2023-10-25T00:00:00Z,Maine,Lewiston,24 Mollison Way,18,13,1,0,0
2737798,2023-10-24T00:00:00Z,North Carolina,Greenville,1500 Southwest Greenville Blvd,1,3,0,0,2
2736792,2023-10-23T00:00:00Z,Illinois,Chicago,6140 S Justine Street,1,3,0,0,0
2737647,2023-10-23T00:00:00Z,Colorado,Durango,149 S Camino del Rio,1,3,0,0,3
2735504,2023-10-22T00:00:00Z,Mississippi,Meridian,2409 5th Street,1,3,0,0,0
2735299,2023-10-22T00:00:00Z,Arkansas,Pine Bluff,200 University Dr,1,3,0,0,4
2735026,2023-10-21T00:00:00Z,Texas,College Station,2501 Texas Avenue S,0,4,0,0,1
2735343,2023-10-21T00:00:00Z,Texas,Borger,718 N Main Street,1,3,0,0,1
2735073,2023-10-21T00:00:00Z,California,Santa Maria,1000 N School Street,1,3,0,0,0
2735271,2023-10-21T00:00:00Z,North Carolina,Fayetteville,1520 Slater Avenue,1,3,0,0,1
2735817,2023-10-21T00:00:00Z,Louisiana,Monroe,3100 Renwick Street,1,5,0,0,2
2735260,2023-10-21T00:00:00Z,California,Oakley,487 Shannon Way,1,3,0,0,1
2734098,2023-10-20T00:00:00Z,Nebraska,Lincoln,13th Street and O Street,0,4,0,0,3
2735403,2023-10-20T00:00:00Z,Louisiana,Alexandria,1900 Kelly Street,0,4,0,0,2
2733549,2023-10-19T00:00:00Z,Washington,Toppenish,200 Pearne Street,3,1,1,0,0
2733136,2023-10-18T00:00:00Z,Ohio,Columbus,200 Winner Avenue,0,4,0,0,1
2732484,2023-10-17T00:00:00Z,Georgia,Augusta,2 Greene Street,0,4,0,0,0
2731511,2023-10-16T00:00:00Z,Maryland,Severn,1159 Reece Road,0,4,0,0,0
2731681,2023-10-16T00:00:00Z,California,Los Angeles,4410 Lankershim Blvd,3,1,0,0,0
2731021,2023-10-15T00:00:00Z,South Carolina,Barnwell,Quail Road and Patterson Road,1,5,0,0,0
2730602,2023-10-15T00:00:00Z,Minnesota,Minneapolis,400 N 3rd Avenue,0,4,0,0,0
2729845,2023-10-14T00:00:00Z,Colorado,Denver,12445 E 39th Avenue,3,3,0,0,0
2730782,2023-10-13T00:00:00Z,Mississippi,Cleveland,1823 S Chrisman Avenue,2,2,0,0,1
2729811,2023-10-13T00:00:00Z,Missouri,Kansas City,E 10th Street and Indiana Avenue,0,5,0,0,0
2728246,2023-10-12T00:00:00Z,Minnesota,Princeton,225 190th Avenue Northeast,0,5,0,1,1
2727876,2023-10-10T00:00:00Z,Wisconsin,Madison,116 Milky Way,1,3,0,0,4
2725771,2023-10-08T00:00:00Z,Illinois,Chicago,316 W Erie Street,0,8,0,0,0
2725838,2023-10-08T00:00:00Z,Pennsylvania,Indiana,640 N 5th Avenue,1,8,0,0,0
2726444,2023-10-08T00:00:00Z,Louisiana,Gonzales,616 N Tobey Avenue,1,4,0,0,2
2725206,2023-10-07T00:00:00Z,Illinois,Chicago,5012 N Winthrop Avenue,0,4,0,0,0
2725669,2023-10-07T00:00:00Z,California,Inglewood,3333 W Manchester Blvd,2,3,0,0,0
2725422,2023-10-06T00:00:00Z,Nevada,Reno,10640 N McCarran Blvd,0,7,0,0,0
2725126,2023-10-06T00:00:00Z,South Carolina,Florence,1100 Oakland Avenue,0,4,0,0,0
2725133,2023-10-06T00:00:00Z,District of Columbia,Washington,100 Quincy Pl Northeast,0,5,0,0,0
2723247,2023-10-04T00:00:00Z,Pennsylvania,Philadelphia,7500 Whitaker Avenue,0,4,1,0,0
2723237,2023-10-04T00:00:00Z,Minnesota,Saint Paul,1200 Hazelwood Street,1,3,0,0,0
2723347,2023-10-04T00:00:00Z,California,Los Angeles,S Central Avenue and E 90th Street,1,4,0,0,0
2722363,2023-10-03T00:00:00Z,Maryland,Baltimore,1800 Argonne Dr,0,5,0,0,2
2720893,2023-10-02T00:00:00Z,Pennsylvania,Philadelphia,6115 Shelbourne Street,3,1,1,0,0
2720910,2023-10-01T00:00:00Z,Ohio,Toledo,500 Leach Street,0,4,0,0,1
2720112,2023-10-01T00:00:00Z,Kentucky,Lexington,125 N Mill Street,0,4,0,0,1
2720476,2023-10-01T00:00:00Z,Illinois,Chicago,50 S Whipple Street,2,2,0,0,0
2720136,2023-10-01T00:00:00Z,Nebraska,Omaha,N 24th Street and Decatur Street,1,5,0,0,0
